Method,Iteration,ATTR,AREA,state,FU,REG,MUX,DEC,pin_pair,net,max,min,ave,MISC,MEM,CP_delay,sim,Pmax,Pmin,Pave,Latency,BlockMemoryBit,DSP
ave_exhaustive,1,0-0-0-,704,18,267,252,131,0,1618,775,18,18,18.00,54,-,1.4801ns,-,-,-,-,46,-,-
ave_exhaustive,1,0-0-1-,2394,17,465,1182,707,0,4620,1856,17,17,17.00,40,-,2.4ns,-,-,-,-,17,-,-
ave_exhaustive,1,0-0-2-,1217,12,470,432,272,0,2719,1251,12,12,12.00,43,-,2.27ns,-,-,-,-,24,-,-
ave_exhaustive,1,0-0-3-,2657,8,884,1188,551,0,5090,2294,8,8,8.00,34,-,2.7201ns,-,-,-,-,12,-,-
ave_exhaustive,1,0-0-4-,3401,4,2129,972,290,0,6824,3426,4,4,4.00,10,-,3.46ns,-,-,-,-,4,-,-
ave_exhaustive,1,0-1-0-,681,7,288,270,108,0,1289,623,7,7,7.00,15,-,1.4801ns,-,-,-,-,63,-,-
ave_exhaustive,1,0-1-1-,2322,20,899,846,507,0,4671,2070,20,20,20.00,70,-,3.64ns,-,-,-,-,48,-,-
ave_exhaustive,1,0-1-2-,978,7,488,270,198,0,2062,998,7,7,7.00,22,-,2.27ns,-,-,-,-,47,-,-
ave_exhaustive,1,0-1-3-,1536,7,902,276,323,0,3535,1702,7,7,7.00,35,-,2.96ns,-,-,-,-,39,-,-
ave_exhaustive,1,0-1-4-,2334,6,1731,276,276,0,5064,2545,6,6,6.00,51,-,3.3401ns,-,-,-,-,34,-,-
ave_exhaustive,1,0-2-0-,704,18,267,252,131,0,1618,775,18,18,18.00,54,-,1.4801ns,-,-,-,-,46,-,-
ave_exhaustive,1,0-2-1-,2394,17,465,1182,707,0,4620,1856,17,17,17.00,40,-,2.4ns,-,-,-,-,17,-,-
ave_exhaustive,1,0-2-2-,1217,12,470,432,272,0,2719,1251,12,12,12.00,43,-,2.27ns,-,-,-,-,24,-,-
ave_exhaustive,1,0-2-3-,2657,8,884,1188,551,0,5090,2294,8,8,8.00,34,-,2.7201ns,-,-,-,-,12,-,-
ave_exhaustive,1,0-2-4-,3401,4,2129,972,290,0,6824,3426,4,4,4.00,10,-,3.46ns,-,-,-,-,4,-,-
ave_exhaustive,1,0-3-0-,761,8,278,282,180,0,1527,741,8,8,8.00,21,-,1.6801ns,-,-,-,-,48,-,-
ave_exhaustive,1,0-3-1-,1924,13,891,654,336,0,3818,1755,13,13,13.00,43,-,3.4101ns,-,-,-,-,25,-,-
ave_exhaustive,1,0-3-2-,905,8,481,270,137,0,1891,924,8,8,8.00,17,-,2.27ns,-,-,-,-,32,-,-
ave_exhaustive,1,0-3-3-,1950,8,935,318,642,0,4888,2214,8,8,8.00,55,-,2.96ns,-,-,-,-,30,-,-
ave_exhaustive,1,0-3-4-,3542,8,2164,876,408,0,7062,3493,8,8,8.00,94,-,3.51ns,-,-,-,-,32,-,-
ave_exhaustive,1,0-4-0-,812,8,274,264,243,0,1790,859,8,8,8.00,31,-,1.7301ns,-,-,-,-,40,-,-
ave_exhaustive,1,0-4-1-,1682,9,1094,432,133,0,3352,1693,9,9,9.00,23,-,3.4101ns,-,-,-,-,13,-,-
ave_exhaustive,1,0-4-2-,930,10,291,282,314,0,2164,995,10,10,10.00,43,-,1.8051ns,-,-,-,-,32,-,-
ave_exhaustive,1,0-4-3-,1365,8,891,252,205,0,3123,1542,8,8,8.00,17,-,2.96ns,-,-,-,-,16,-,-
ave_exhaustive,1,0-4-4-,4680,12,2022,786,1707,0,11415,4783,12,12,12.00,165,-,3.51ns,-,-,-,-,28,-,-
ave_exhaustive,1,0-5-0-,1389,6,267,642,438,0,2958,1361,6,6,6.00,42,-,1.8201ns,-,-,-,-,34,-,-
ave_exhaustive,1,0-5-1-,3401,4,2129,972,290,0,6824,3426,4,4,4.00,10,-,3.46ns,-,-,-,-,4,-,-
ave_exhaustive,1,0-5-2-,1772,8,285,660,766,0,4101,1742,8,8,8.00,61,-,1.8951ns,-,-,-,-,26,-,-
ave_exhaustive,1,0-5-3-,3086,10,741,720,1526,0,7717,3085,10,10,10.00,99,-,3.1401ns,-,-,-,-,20,-,-
ave_exhaustive,1,0-5-4-,3401,4,2129,972,290,0,6824,3426,4,4,4.00,10,-,3.46ns,-,-,-,-,4,-,-
ave_exhaustive,1,1-0-0-,42,2,10,30,2,0,53,29,3,3,3.00,0,0,0.17ns,-,-,-,-,16,-,-
ave_exhaustive,1,1-0-2-,31,2,5,24,2,0,41,22,3,3,3.00,0,0,0.17ns,-,-,-,-,8,-,-
ave_exhaustive,1,1-0-3-,23,2,3,18,2,0,32,18,3,3,3.00,0,0,0.14ns,-,-,-,-,4,-,-
ave_exhaustive,1,1-1-0-,269,3,31,138,52,25,467,218,4,4,4.00,23,0,0.52ns,-,-,-,-,31,-,-
ave_exhaustive,1,1-1-1-,230,2,18,126,44,25,385,181,3,3,3.00,17,0,0.52ns,-,-,-,-,16,-,-
ave_exhaustive,1,1-1-2-,79,3,23,36,12,0,152,74,4,4,4.00,8,0,0.4ns,-,-,-,-,23,-,-
ave_exhaustive,1,1-1-3-,76,3,21,36,11,0,145,71,4,4,4.00,8,0,0.4ns,-,-,-,-,19,-,-
ave_exhaustive,1,1-1-4-,54,2,18,30,5,0,91,45,3,3,3.00,1,0,0.26ns,-,-,-,-,16,-,-
ave_exhaustive,1,1-2-0-,42,2,10,30,2,0,53,29,3,3,3.00,0,0,0.17ns,-,-,-,-,16,-,-
ave_exhaustive,1,1-2-2-,31,2,5,24,2,0,41,22,3,3,3.00,0,0,0.17ns,-,-,-,-,8,-,-
ave_exhaustive,1,1-2-3-,23,2,3,18,2,0,32,18,3,3,3.00,0,0,0.14ns,-,-,-,-,4,-,-
ave_exhaustive,1,1-3-0-,254,3,21,132,50,28,441,199,4,4,4.00,23,0,0.47ns,-,-,-,-,23,-,-
ave_exhaustive,1,1-3-1-,218,2,10,120,43,28,369,166,3,3,3.00,17,0,0.47ns,-,-,-,-,8,-,-
ave_exhaustive,1,1-3-2-,243,3,16,126,50,28,429,194,4,4,4.00,23,0,0.47ns,-,-,-,-,15,-,-
