Method,Iteration,ATTR,AREA,state,FU,REG,MUX,DEC,pin_pair,net,max,min,ave,MISC,MEM,CP_delay,sim,Pmax,Pmin,Pave,Latency,BlockMemoryBit,DSP
ave16_exhaustive,1,0-0-0-,663,6,288,270,91,0,1266,588,6,6,6.00,14,-,1.4801ns,-,-,-,-,62,-,-
ave16_exhaustive,1,0-0-1-,2617,19,899,1062,597,0,5353,2307,19,19,19.00,59,-,3.71ns,-,-,-,-,47,-,-
ave16_exhaustive,1,0-0-2-,956,7,488,288,157,0,1970,946,7,7,7.00,23,-,2.1701ns,-,-,-,-,47,-,-
ave16_exhaustive,1,0-0-3-,1483,7,902,294,250,0,3284,1587,7,7,7.00,37,-,2.7901ns,-,-,-,-,39,-,-
ave16_exhaustive,1,0-0-4-,2389,6,1731,300,305,0,5215,2563,6,6,6.00,53,-,3.51ns,-,-,-,-,34,-,-
ave16_exhaustive,1,0-1-0-,783,19,267,270,188,0,1893,840,19,19,19.00,58,-,1.4801ns,-,-,-,-,47,-,-
ave16_exhaustive,1,0-1-1-,1926,17,465,798,619,0,4079,1591,17,17,17.00,44,-,2.475ns,-,-,-,-,17,-,-
ave16_exhaustive,1,0-1-2-,1452,12,470,624,320,0,2947,1286,12,12,12.00,38,-,2.27ns,-,-,-,-,24,-,-
ave16_exhaustive,1,0-1-3-,2256,8,884,996,342,0,4175,1929,8,8,8.00,34,-,2.96ns,-,-,-,-,12,-,-
ave16_exhaustive,1,0-1-4-,1940,3,1713,204,16,0,4081,2138,3,3,3.00,7,-,3.46ns,-,-,-,-,3,-,-
ave16_exhaustive,1,0-2-0-,741,7,278,282,160,0,1501,708,7,7,7.00,21,-,1.6801ns,-,-,-,-,47,-,-
ave16_exhaustive,1,0-2-1-,2017,13,891,684,396,0,4039,1774,13,13,13.00,46,-,3.665ns,-,-,-,-,25,-,-
ave16_exhaustive,1,0-2-2-,887,8,481,294,92,0,1785,864,8,8,8.00,20,-,2.1701ns,-,-,-,-,32,-,-
ave16_exhaustive,1,0-2-3-,1934,8,935,318,626,0,4785,2125,8,8,8.00,55,-,2.96ns,-,-,-,-,30,-,-
ave16_exhaustive,1,0-2-4-,3958,8,2372,1068,424,0,7675,3751,8,8,8.00,94,-,3.51ns,-,-,-,-,32,-,-
ave16_exhaustive,1,0-3-0-,794,7,274,264,225,0,1769,829,7,7,7.00,31,-,1.7301ns,-,-,-,-,39,-,-
ave16_exhaustive,1,0-3-1-,1749,9,1094,468,160,0,3512,1715,9,9,9.00,27,-,3.65ns,-,-,-,-,13,-,-
ave16_exhaustive,1,0-3-2-,913,9,291,282,297,0,2145,964,9,9,9.00,43,-,1.8051ns,-,-,-,-,31,-,-
ave16_exhaustive,1,0-3-3-,1322,8,891,282,127,0,2860,1419,8,8,8.00,22,-,2.7901ns,-,-,-,-,16,-,-
ave16_exhaustive,1,0-3-4-,5424,12,2438,1170,1651,0,12264,5196,12,12,12.00,165,-,3.51ns,-,-,-,-,28,-,-
ave16_exhaustive,1,0-4-0-,886,5,267,258,324,0,2192,1004,5,5,5.00,37,-,1.8201ns,-,-,-,-,33,-,-
ave16_exhaustive,1,0-4-1-,1940,3,1713,204,16,0,4081,2138,3,3,3.00,7,-,3.46ns,-,-,-,-,3,-,-
ave16_exhaustive,1,0-4-2-,1270,7,285,276,653,0,3335,1381,7,7,7.00,56,-,1.8951ns,-,-,-,-,25,-,-
ave16_exhaustive,1,0-4-3-,2887,9,949,528,1315,0,7130,2917,9,9,9.00,95,-,3.1401ns,-,-,-,-,19,-,-
ave16_exhaustive,1,0-4-4-,1940,3,1713,204,16,0,4081,2138,3,3,3.00,7,-,3.46ns,-,-,-,-,3,-,-
ave16_exhaustive,1,1-0-0-,1643,4,288,1002,303,25,2580,1164,5,4,4.50,25,0,2.0373ns,-,-,-,-,32,-,-
ave16_exhaustive,1,1-0-1-,1924,3,793,804,282,25,3470,1609,4,3,3.50,20,0,1.335ns,-,-,-,-,17,-,-
