Method,Iteration,ATTR,AREA,state,FU,REG,MUX,DEC,pin_pair,net,max,min,ave,MISC,MEM,CP_delay,sim,Pmax,Pmin,Pave,Latency,BlockMemoryBit,DSP
Exhaustive Search,1,4-4-3-5-5-3-2-3-3-2-,311,5,23,168,65,28,572,289,5,4,4.50,27,0,0.53ns,-,-,-,-,17,-,-
Exhaustive Search,1,0-4-2-5-3-0-4-3-3-0-,381,6,13,204,83,39,702,343,6,6,6.00,42,0,0.47ns,-,-,-,-,21,-,-
Exhaustive Search,1,4-4-4-1-3-3-2-3-3-1-,395,5,23,216,83,38,712,355,5,4,4.50,35,0,0.53ns,-,-,-,-,17,-,-
Exhaustive Search,1,4-4-4-5-2-3-2-5-3-2-,494,6,35,258,105,49,913,445,6,5,5.50,47,0,0.53ns,-,-,-,-,23,-,-
Exhaustive Search,1,4-4-4-3-0-3-3-3-3-2-,339,5,17,186,73,31,619,312,5,5,5.00,32,0,0.47ns,-,-,-,-,13,-,-
Exhaustive Search,1,4-4-4-5-3-3-2-3-2-2-,979,6,135,552,147,71,1560,754,6,5,5.50,74,0,0.74ns,-,-,-,-,40,-,-
Exhaustive Search,1,3-4-4-3-0-3-4-3-0-2-,697,7,41,360,153,72,1265,576,7,7,7.00,71,0,0.6225ns,-,-,-,-,41,-,-
Exhaustive Search,1,3-4-4-1-3-3-3-6-3-2-,130,3,5,78,25,10,233,111,3,3,3.00,12,0,0.34ns,-,-,-,-,6,-,-
Exhaustive Search,1,4-4-4-1-3-2-3-6-3-2-,226,4,5,132,48,20,402,212,4,3,3.50,21,0,0.34ns,-,-,-,-,7,-,-
Exhaustive Search,1,3-4-4-1-3-1-3-3-0-4-,445,4,29,240,91,43,789,360,4,4,4.00,42,0,0.6225ns,-,-,-,-,29,-,-
Exhaustive Search,1,3-3-4-2-3-0-3-6-3-2-,110,2,4,66,21,10,198,91,2,2,2.00,9,0,0.34ns,-,-,-,-,4,-,-
Exhaustive Search,1,3-4-4-2-3-0-3-6-3-2-,130,3,5,78,25,10,233,111,3,3,3.00,12,0,0.34ns,-,-,-,-,6,-,-
Exhaustive Search,1,4-3-3-2-3-0-3-1-3-3-,128,3,4,78,24,10,236,131,3,2,2.50,12,0,0.34ns,-,-,-,-,5,-,-
Exhaustive Search,1,4-3-3-5-3-2-3-4-3-2-,128,3,4,78,24,10,236,131,3,2,2.50,12,0,0.34ns,-,-,-,-,5,-,-
Exhaustive Search,1,4-3-4-4-2-0-0-6-3-2-,485,5,34,252,103,49,890,434,5,5,5.00,47,0,0.53ns,-,-,-,-,21,-,-
Exhaustive Search,1,4-3-3-2-5-1-3-6-3-1-,128,3,4,78,24,10,236,131,3,2,2.50,12,0,0.34ns,-,-,-,-,5,-,-
Exhaustive Search,1,4-3-3-2-3-0-3-2-3-1-,128,3,4,78,24,10,236,131,3,2,2.50,12,0,0.34ns,-,-,-,-,5,-,-
Exhaustive Search,1,3-3-4-2-3-0-3-6-3-0-,110,2,4,66,21,10,198,91,2,2,2.00,9,0,0.34ns,-,-,-,-,4,-,-
Exhaustive Search,1,4-3-3-0-3-3-3-6-3-2-,128,3,4,78,24,10,236,131,3,2,2.50,12,0,0.34ns,-,-,-,-,5,-,-
Exhaustive Search,1,4-2-4-0-3-0-3-6-3-1-,223,4,7,126,49,20,406,213,4,3,3.50,21,0,0.34ns,-,-,-,-,9,-,-
Exhaustive Search,1,4-3-3-2-3-4-3-1-3-2-,128,3,4,78,24,10,236,131,3,2,2.50,12,0,0.34ns,-,-,-,-,5,-,-
Exhaustive Search,1,4-3-3-2-3-5-4-6-2-2-,882,5,128,498,129,61,1390,671,5,4,4.50,66,0,0.74ns,-,-,-,-,33,-,-
Exhaustive Search,1,4-0-3-3-5-0-3-1-3-0-,148,4,9,84,31,10,281,153,4,4,4.00,14,0,0.34ns,-,-,-,-,9,-,-
Exhaustive Search,1,4-2-3-4-3-0-4-4-2-3-,891,6,131,498,132,61,1425,686,6,5,5.50,69,0,0.74ns,-,-,-,-,37,-,-
Exhaustive Search,1,3-0-3-0-3-0-3-1-3-1-,28,2,3,24,1,0,45,18,2,2,2.00,0,0,0.1ns,-,-,-,-,5,-,-
Exhaustive Search,1,3-0-3-0-4-0-3-1-3-2-,138,4,7,78,29,10,259,123,4,4,4.00,14,0,0.34ns,-,-,-,-,9,-,-
Exhaustive Search,1,3-4-3-0-3-0-3-1-3-4-,14,2,1,12,1,0,34,12,2,2,2.00,0,0,0.09ns,-,-,-,-,3,-,-
Exhaustive Search,1,3-4-4-4-3-2-5-6-3-2-,218,4,5,126,40,22,382,183,4,4,4.00,25,0,0.34ns,-,-,-,-,8,-,-
