Method,Iteration,ATTR,AREA,state,FU,REG,MUX,DEC,pin_pair,net,max,min,ave,MISC,MEM,CP_delay,sim,Pmax,Pmin,Pave,Latency,BlockMemoryBit,DSP
interpolation_exhaustive,1,0-0-0-0-0-,12156,6,10118,1254,744,4,18998,8919,6,5,5.50,36,0,6.585ns,-,-,-,-,18,-,-
interpolation_exhaustive,1,0-0-0-0-1-,13913,6,11993,1158,722,4,21988,10205,6,5,5.50,36,0,7.627ns,-,-,-,-,18,-,-
interpolation_exhaustive,1,0-0-0-0-2-,11241,7,8798,1254,1144,4,18186,8402,7,6,6.50,41,0,6.805ns,-,-,-,-,22,-,-
interpolation_exhaustive,1,0-0-0-0-3-,18719,6,16773,1248,657,4,28752,13629,6,5,5.50,37,0,7.495ns,-,-,-,-,18,-,-
interpolation_exhaustive,1,0-0-0-1-0-,14365,6,12327,1254,743,4,22857,10650,6,5,5.50,37,0,6.485ns,-,-,-,-,18,-,-
interpolation_exhaustive,1,0-0-0-1-1-,19456,6,17807,1056,553,4,30197,14102,6,5,5.50,36,0,7.275ns,-,-,-,-,18,-,-
interpolation_exhaustive,1,0-0-0-1-2-,14627,7,12223,1248,1112,4,23826,11024,7,6,6.50,40,0,6.49ns,-,-,-,-,22,-,-
interpolation_exhaustive,1,0-0-0-1-3-,21422,6,19318,1248,815,4,33585,15764,6,5,5.50,37,0,7.375ns,-,-,-,-,18,-,-
interpolation_exhaustive,1,0-0-0-2-0-,11222,7,8798,1254,1123,4,18053,8343,7,6,6.50,43,0,5.79ns,-,-,-,-,22,-,-
interpolation_exhaustive,1,0-0-0-2-1-,14258,7,12013,1152,1051,4,22950,10579,7,6,6.50,38,0,8.087ns,-,-,-,-,22,-,-
interpolation_exhaustive,1,0-0-0-2-2-,14156,7,11568,1338,1184,4,22658,10578,7,6,6.50,62,0,7.015ns,-,-,-,-,22,-,-
interpolation_exhaustive,1,0-0-0-2-3-,19051,7,16784,1248,971,4,29633,13967,7,6,6.50,44,0,7.51ns,-,-,-,-,22,-,-
interpolation_exhaustive,1,0-0-0-3-0-,13746,6,11651,1254,801,4,21771,10207,6,5,5.50,36,0,6.675ns,-,-,-,-,18,-,-
interpolation_exhaustive,1,0-0-0-3-1-,21747,6,19997,1152,558,4,33139,15579,6,5,5.50,36,0,7.857ns,-,-,-,-,18,-,-
interpolation_exhaustive,1,0-0-0-3-2-,14088,7,11662,1248,1135,4,22701,10564,7,6,6.50,39,0,7.34ns,-,-,-,-,22,-,-
interpolation_exhaustive,1,0-0-0-3-3-,23953,6,22097,1248,568,4,36477,17355,6,5,5.50,36,0,7.425ns,-,-,-,-,18,-,-
interpolation_exhaustive,1,0-0-1-0-0-,13174,5,11448,1242,455,14,19861,9416,5,4,4.50,15,0,6.16ns,-,-,-,-,16,-,-
interpolation_exhaustive,1,0-0-1-0-1-,14924,5,13326,1146,423,14,22755,10665,5,4,4.50,15,0,7.857ns,-,-,-,-,16,-,-
interpolation_exhaustive,1,0-0-1-0-2-,10764,6,8789,1242,698,10,16875,7944,6,5,5.50,25,0,6.395ns,-,-,-,-,20,-,-
interpolation_exhaustive,1,0-0-1-0-3-,13478,6,11449,1248,741,4,20997,9908,6,5,5.50,36,0,7.005ns,-,-,-,-,18,-,-
interpolation_exhaustive,1,0-0-1-1-0-,14602,5,12690,1242,639,14,22909,10687,5,4,4.50,17,0,7.205ns,-,-,-,-,16,-,-
interpolation_exhaustive,1,0-0-1-1-1-,16610,5,15138,1050,393,14,25690,11970,5,4,4.50,15,0,7.275ns,-,-,-,-,16,-,-
interpolation_exhaustive,1,0-0-1-1-2-,13959,6,11990,1242,691,10,22149,10358,6,5,5.50,26,0,6.435ns,-,-,-,-,20,-,-
interpolation_exhaustive,1,0-0-1-1-3-,16556,6,14475,1248,792,4,26230,12274,6,5,5.50,37,0,6.965ns,-,-,-,-,18,-,-
interpolation_exhaustive,1,0-0-1-2-0-,12025,6,10120,1254,616,10,18499,8716,6,5,5.50,25,0,6.465ns,-,-,-,-,20,-,-
interpolation_exhaustive,1,0-0-1-2-1-,13773,6,11995,1146,597,10,21490,10041,6,5,5.50,25,0,7.447ns,-,-,-,-,20,-,-
interpolation_exhaustive,1,0-0-1-2-2-,13333,6,11451,1242,605,10,20496,9699,6,5,5.50,25,0,6.885ns,-,-,-,-,20,-,-
interpolation_exhaustive,1,0-0-1-3-0-,12159,6,10118,1260,741,4,18977,8886,6,5,5.50,36,0,6.725ns,-,-,-,-,18,-,-
interpolation_exhaustive,1,0-0-1-3-1-,16494,6,14661,1152,641,4,25547,11954,6,5,5.50,36,0,7.447ns,-,-,-,-,18,-,-
interpolation_exhaustive,1,0-0-1-3-2-,11228,7,8798,1248,1138,4,18156,8394,7,6,6.50,40,0,6.755ns,-,-,-,-,22,-,-
interpolation_exhaustive,1,0-0-1-3-3-,18712,6,16773,1248,651,4,28713,13614,6,5,5.50,36,0,7.495ns,-,-,-,-,18,-,-
interpolation_exhaustive,1,0-0-2-0-0-,14138,5,12174,1242,691,14,22255,10327,5,4,4.50,17,0,6.71ns,-,-,-,-,16,-,-
interpolation_exhaustive,1,0-0-2-0-1-,14778,5,12670,1146,925,14,24566,11230,5,4,4.50,23,0,8.657ns,-,-,-,-,16,-,-
interpolation_exhaustive,1,0-0-2-0-2-,13045,6,10940,1242,824,10,20867,9651,6,5,5.50,29,0,6.46ns,-,-,-,-,20,-,-
interpolation_exhaustive,1,0-0-2-0-3-,15678,6,13445,1248,940,4,25083,11631,6,5,5.50,41,0,7.065ns,-,-,-,-,18,-,-
interpolation_exhaustive,1,0-0-2-1-0-,15772,5,13784,1242,714,14,25070,11545,5,4,4.50,18,0,8.16ns,-,-,-,-,16,-,-
interpolation_exhaustive,1,0-0-2-1-1-,17708,5,16364,954,361,14,27572,12766,5,4,4.50,15,0,7.447ns,-,-,-,-,16,-,-
interpolation_exhaustive,1,0-0-2-1-2-,16360,6,14432,1242,650,10,25687,11911,6,5,5.50,26,0,6.558ns,-,-,-,-,20,-,-
interpolation_exhaustive,1,0-0-2-1-3-,18924,6,16890,1248,745,4,29673,13786,6,5,5.50,37,0,6.965ns,-,-,-,-,18,-,-
interpolation_exhaustive,1,0-0-2-2-0-,13171,6,11051,1248,835,10,21258,9837,6,5,5.50,27,0,7.055ns,-,-,-,-,20,-,-
interpolation_exhaustive,1,0-0-2-2-1-,15171,6,12971,1146,1014,10,25514,11746,6,5,5.50,30,0,8.707ns,-,-,-,-,20,-,-
interpolation_exhaustive,1,0-0-2-2-2-,15815,6,13812,1242,725,10,24936,11656,6,5,5.50,26,0,6.985ns,-,-,-,-,20,-,-
interpolation_exhaustive,1,0-0-2-3-0-,13459,6,11220,1254,942,4,21831,10036,6,5,5.50,39,0,7.21ns,-,-,-,-,18,-,-
interpolation_exhaustive,1,0-0-2-3-1-,17891,6,15637,1152,1057,4,29570,13658,6,5,5.50,41,0,8.707ns,-,-,-,-,18,-,-
interpolation_exhaustive,1,0-0-2-3-2-,13825,7,11350,1248,1183,4,22557,10361,7,6,6.50,40,0,6.905ns,-,-,-,-,22,-,-
interpolation_exhaustive,1,0-0-2-3-3-,20947,6,18810,1248,848,4,32907,15405,6,5,5.50,37,0,7.995ns,-,-,-,-,18,-,-
interpolation_exhaustive,1,0-0-3-0-0-,12019,6,10120,1248,616,10,18506,8735,6,5,5.50,25,0,6.465ns,-,-,-,-,20,-,-
interpolation_exhaustive,1,0-0-3-0-1-,13766,6,11995,1152,584,10,21440,10011,6,5,5.50,25,0,7.447ns,-,-,-,-,20,-,-
interpolation_exhaustive,1,0-0-3-0-2-,13341,6,11451,1248,607,10,20510,9693,6,5,5.50,25,0,6.885ns,-,-,-,-,20,-,-
interpolation_exhaustive,1,0-0-3-1-0-,14020,6,12094,1248,642,10,22084,10329,6,5,5.50,26,0,6.365ns,-,-,-,-,20,-,-
