Method,Iteration,ATTR,AREA,state,FU,REG,MUX,DEC,pin_pair,net,max,min,ave,MISC,MEM,CP_delay,sim,Pmax,Pmin,Pave,Latency,BlockMemoryBit,DSP
interpolation_meta_300,1,3-2-1-3-1-,17855,4,15666,936,1232,0,29830,13741,4,4,4.00,21,0,8.849ns,-,-,-,-,8,-,-
interpolation_meta_300,1,3-2-0-1-1-,15396,4,13792,852,745,0,24464,11368,4,4,4.00,7,0,7.345ns,-,-,-,-,14,-,-
interpolation_meta_300,1,2-2-0-0-0-,11980,6,10112,1242,595,10,18453,8716,6,5,5.50,21,0,6.935ns,-,-,-,-,17,-,-
interpolation_meta_300,1,2-1-0-1-1-,16654,5,14473,1068,1076,10,28446,12942,5,4,4.50,27,0,8.865ns,-,-,-,-,13,-,-
interpolation_meta_300,1,3-3-0-1-1-,15322,4,13897,858,554,0,24319,11287,4,4,4.00,13,0,7.915ns,-,-,-,-,12,-,-
interpolation_meta_300,1,2-2-0-1-1-,15422,6,13799,1050,542,10,24372,11304,6,5,5.50,21,0,7.345ns,-,-,-,-,17,-,-
interpolation_meta_300,1,3-3-0-1-0-,13983,4,12315,1050,604,0,22078,10346,4,4,4.00,14,0,6.84ns,-,-,-,-,12,-,-
interpolation_meta_300,1,3-2-1-1-3-,18944,4,16993,1032,902,0,29948,13902,4,4,4.00,17,0,6.99ns,-,-,-,-,8,-,-
interpolation_meta_300,1,0-3-1-1-2-,17068,6,14742,1248,1037,4,27324,12589,6,5,5.50,37,0,6.485ns,-,-,-,-,14,-,-
interpolation_meta_300,1,3-3-0-1-3-,21050,4,19306,1032,695,0,32922,15473,4,4,4.00,17,0,6.91ns,-,-,-,-,12,-,-
interpolation_meta_300,1,2-3-1-1-3-,23617,6,21234,1290,1050,4,37544,17372,6,5,5.50,39,0,7.609ns,-,-,-,-,9,-,-
interpolation_meta_300,1,2-3-2-0-3-,19206,8,16805,1272,1079,4,30114,14148,8,7,7.50,46,0,7.02ns,-,-,-,-,21,-,-
