Method,Iteration,ATTR,AREA,state,FU,REG,MUX,DEC,pin_pair,net,max,min,ave,MISC,MEM,CP_delay,sim,Pmax,Pmin,Pave,Latency,BlockMemoryBit,DSP
Exhaustive Search,1,4-4-3-5-5-3-2-3-3-2-,311,5,23,168,65,28,572,289,5,4,4.50,27,0,0.53ns,-,-,-,-,17,-,-
Exhaustive Search,1,0-4-2-5-3-0-4-3-3-0-,381,6,13,204,83,39,702,343,6,6,6.00,42,0,0.47ns,-,-,-,-,21,-,-
Exhaustive Search,1,4-4-4-1-3-3-2-3-3-1-,395,5,23,216,83,38,712,355,5,4,4.50,35,0,0.53ns,-,-,-,-,17,-,-
Exhaustive Search,1,0-4-2-1-2-3-2-5-3-1-,477,6,31,246,101,50,880,427,6,6,6.00,49,0,0.53ns,-,-,-,-,26,-,-
Exhaustive Search,1,0-4-2-3-0-0-3-3-3-1-,322,5,13,174,69,32,586,294,5,5,5.00,34,0,0.47ns,-,-,-,-,16,-,-
Exhaustive Search,1,0-4-2-5-0-0-3-3-2-1-,906,6,125,510,133,65,1434,693,6,6,6.00,73,0,0.74ns,-,-,-,-,39,-,-
Exhaustive Search,1,0-3-4-1-3-3-2-4-3-0-,401,5,34,204,85,39,751,368,5,5,5.00,39,0,0.53ns,-,-,-,-,21,-,-
Exhaustive Search,1,0-4-2-3-0-0-0-6-4-4-,753,8,31,390,169,86,1379,648,8,8,8.00,77,0,0.53ns,-,-,-,-,32,-,-
Exhaustive Search,1,5-3-2-3-0-0-3-0-4-0-,489,5,12,264,106,58,881,392,5,5,5.00,49,0,0.47ns,-,-,-,-,19,-,-
Exhaustive Search,1,5-3-2-3-0-0-3-4-3-1-,209,3,12,114,39,22,375,168,3,3,3.00,22,0,0.47ns,-,-,-,-,13,-,-
Exhaustive Search,1,5-4-2-2-0-5-3-4-3-1-,222,4,17,114,44,22,414,185,4,4,4.00,25,0,0.47ns,-,-,-,-,15,-,-
Exhaustive Search,1,5-3-2-3-0-0-3-0-3-1-,209,3,12,114,39,22,375,168,3,3,3.00,22,0,0.47ns,-,-,-,-,13,-,-
Exhaustive Search,1,5-4-2-3-0-5-3-1-3-1-,222,4,17,114,44,22,414,185,4,4,4.00,25,0,0.47ns,-,-,-,-,15,-,-
Exhaustive Search,1,5-0-2-3-0-1-3-6-4-1-,508,7,22,264,113,58,941,422,7,7,7.00,51,0,0.47ns,-,-,-,-,24,-,-
Exhaustive Search,1,5-3-2-3-0-5-0-4-3-1-,377,5,30,192,77,40,696,318,5,5,5.00,38,0,0.53ns,-,-,-,-,24,-,-
Exhaustive Search,1,5-3-2-1-0-3-3-4-3-0-,209,3,12,114,39,22,375,168,3,3,3.00,22,0,0.47ns,-,-,-,-,13,-,-
Exhaustive Search,1,5-0-2-4-0-5-5-4-3-2-,329,7,26,168,66,34,629,288,7,7,7.00,35,0,0.47ns,-,-,-,-,21,-,-
Exhaustive Search,1,5-4-0-3-0-1-3-4-3-1-,216,3,17,114,41,22,393,175,3,3,3.00,22,0,0.47ns,-,-,-,-,9,-,-
Exhaustive Search,1,0-4-2-4-4-0-3-4-3-1-,343,6,17,180,76,31,647,326,6,6,6.00,39,0,0.47ns,-,-,-,-,19,-,-
Exhaustive Search,1,4-3-2-3-0-1-3-4-3-1-,326,5,16,174,70,32,607,301,5,5,5.00,34,0,0.47ns,-,-,-,-,17,-,-
Exhaustive Search,1,5-3-2-1-0-1-4-4-3-1-,356,5,12,192,75,40,646,290,5,5,5.00,37,0,0.47ns,-,-,-,-,19,-,-
Exhaustive Search,1,5-4-0-3-2-0-3-4-0-1-,542,6,41,276,115,55,995,449,6,6,6.00,55,0,0.6225ns,-,-,-,-,39,-,-
Exhaustive Search,1,5-4-0-3-4-0-3-4-3-1-,249,5,21,126,54,21,480,224,5,5,5.00,27,0,0.47ns,-,-,-,-,13,-,-
Exhaustive Search,1,5-3-2-3-5-4-3-3-3-4-,116,2,12,66,19,11,205,90,2,2,2.00,8,0,0.47ns,-,-,-,-,7,-,-
Exhaustive Search,1,4-4-0-4-2-4-2-3-3-4-,499,8,35,252,111,50,944,459,8,8,8.00,51,0,0.53ns,-,-,-,-,30,-,-
Exhaustive Search,1,0-0-0-2-0-1-3-4-3-4-,300,4,15,162,62,33,540,261,4,4,4.00,28,0,0.47ns,-,-,-,-,12,-,-
Exhaustive Search,1,5-4-0-3-4-1-3-4-3-4-,249,5,21,126,54,21,480,224,5,5,5.00,27,0,0.47ns,-,-,-,-,13,-,-
Exhaustive Search,1,4-4-3-3-5-3-3-3-3-4-,142,4,5,84,30,10,262,146,4,3,3.50,13,0,0.34ns,-,-,-,-,7,-,-
Exhaustive Search,1,5-4-0-1-5-4-3-3-3-4-,140,3,17,72,25,11,263,118,3,3,3.00,15,0,0.47ns,-,-,-,-,9,-,-
