Method,Iteration,ATTR,AREA,state,FU,REG,MUX,DEC,pin_pair,net,max,min,ave,MISC,MEM,CP_delay,sim,Pmax,Pmin,Pave,Latency,BlockMemoryBit,DSP
Exhaustive Search,1,4-4-3-5-5-3-2-3-3-2-,311,5,23,168,65,28,572,289,5,4,4.50,27,0,0.53ns,-,-,-,-,17,-,-
Exhaustive Search,1,0-4-2-5-3-0-4-3-3-0-,381,6,13,204,83,39,702,343,6,6,6.00,42,0,0.47ns,-,-,-,-,21,-,-
Exhaustive Search,1,4-4-4-1-3-3-2-3-3-1-,395,5,23,216,83,38,712,355,5,4,4.50,35,0,0.53ns,-,-,-,-,17,-,-
Exhaustive Search,1,0-4-2-5-2-3-2-5-3-2-,477,6,31,246,101,50,880,427,6,6,6.00,49,0,0.53ns,-,-,-,-,26,-,-
Exhaustive Search,1,0-4-2-3-0-0-3-3-3-2-,322,5,13,174,69,32,586,294,5,5,5.00,34,0,0.47ns,-,-,-,-,16,-,-
Exhaustive Search,1,5-0-2-5-3-0-3-3-5-2-,326,5,26,174,59,35,590,274,5,5,5.00,32,0,0.47ns,-,-,-,-,14,-,-
Exhaustive Search,1,5-4-3-3-0-0-3-4-3-0-,140,3,17,72,25,11,263,118,3,3,3.00,15,0,0.47ns,-,-,-,-,9,-,-
Exhaustive Search,1,5-4-3-3-0-0-0-6-4-4-,581,7,35,294,127,65,1085,489,7,7,7.00,60,0,0.53ns,-,-,-,-,26,-,-
Exhaustive Search,1,4-4-3-3-0-0-3-0-4-2-,527,7,17,282,118,57,967,459,7,7,7.00,53,0,0.47ns,-,-,-,-,19,-,-
Exhaustive Search,1,5-4-5-3-0-1-0-3-3-2-,308,5,35,150,63,29,585,267,5,5,5.00,31,0,0.53ns,-,-,-,-,20,-,-
Exhaustive Search,1,5-4-3-3-2-1-0-3-3-2-,298,4,35,144,59,29,558,252,4,4,4.00,31,0,0.53ns,-,-,-,-,19,-,-
Exhaustive Search,1,3-4-3-3-3-0-3-4-3-1-,14,2,1,12,1,0,34,12,2,2,2.00,0,0,0.09ns,-,-,-,-,3,-,-
Exhaustive Search,1,2-4-3-1-3-3-0-0-3-1-,324,5,31,168,67,28,599,302,5,5,5.00,30,0,0.53ns,-,-,-,-,20,-,-
Exhaustive Search,1,3-4-3-3-3-5-0-4-3-1-,194,3,19,108,33,18,337,156,3,3,3.00,16,0,0.53ns,-,-,-,-,13,-,-
Exhaustive Search,1,5-3-3-1-0-3-3-4-3-0-,117,2,12,66,19,11,207,91,2,2,2.00,9,0,0.47ns,-,-,-,-,7,-,-
Exhaustive Search,1,5-2-3-3-4-1-4-4-3-0-,290,4,19,150,62,28,535,245,4,4,4.00,31,0,0.47ns,-,-,-,-,13,-,-
Exhaustive Search,1,5-3-4-1-5-5-3-4-2-5-,705,3,116,408,88,43,1061,500,3,3,3.00,50,0,0.69ns,-,-,-,-,27,-,-
Exhaustive Search,1,0-3-3-1-3-0-3-4-3-1-,135,3,12,78,22,11,245,131,3,3,3.00,12,0,0.47ns,-,-,-,-,8,-,-
Exhaustive Search,1,2-0-4-3-3-0-3-4-3-5-,256,6,19,132,59,21,493,251,6,6,6.00,25,0,0.47ns,-,-,-,-,16,-,-
Exhaustive Search,1,0-3-3-2-3-0-3-6-3-4-,135,3,12,78,22,11,245,131,3,3,3.00,12,0,0.47ns,-,-,-,-,8,-,-
Exhaustive Search,1,0-3-3-1-3-1-4-4-3-0-,275,4,12,150,56,29,493,241,4,4,4.00,28,0,0.47ns,-,-,-,-,13,-,-
Exhaustive Search,1,4-0-3-1-3-0-3-4-3-5-,148,4,9,84,31,10,281,153,4,4,4.00,14,0,0.34ns,-,-,-,-,9,-,-
Exhaustive Search,1,0-4-3-1-3-1-4-6-3-1-,301,5,13,162,66,28,552,277,5,5,5.00,32,0,0.47ns,-,-,-,-,15,-,-
Exhaustive Search,1,2-3-3-1-2-1-3-4-0-1-,522,4,36,276,109,55,928,441,4,4,4.00,46,0,0.6225ns,-,-,-,-,31,-,-
Exhaustive Search,1,3-4-3-3-3-0-3-4-3-5-,14,2,1,12,1,0,34,12,2,2,2.00,0,0,0.09ns,-,-,-,-,3,-,-
Exhaustive Search,1,3-4-2-3-4-3-4-4-5-1-,549,6,17,300,108,63,967,445,6,6,6.00,61,0,0.47ns,-,-,-,-,19,-,-
Exhaustive Search,1,4-0-3-3-0-3-3-2-3-1-,258,6,21,132,59,21,503,257,6,6,6.00,25,0,0.47ns,-,-,-,-,16,-,-
Exhaustive Search,1,3-4-5-2-2-0-3-4-3-5-,136,3,13,78,23,11,240,110,3,3,3.00,11,0,0.47ns,-,-,-,-,9,-,-
Exhaustive Search,1,3-0-3-0-3-0-3-4-3-4-,28,2,3,24,1,0,45,18,2,2,2.00,0,0,0.1ns,-,-,-,-,5,-,-
