Method,Iteration,ATTR,AREA,state,FU,REG,MUX,DEC,pin_pair,net,max,min,ave,MISC,MEM,CP_delay,sim,Pmax,Pmin,Pave,Latency,BlockMemoryBit,DSP
sobel_exhaustive,1,0-0-0-0-0-0-,3161,6,1703,960,419,19,5715,2555,6,5,5.50,60,0,5.6625ns,-,-,-,-,17,-,-
sobel_exhaustive,1,0-0-0-0-0-1-,4430,6,2964,960,433,19,7818,3620,6,5,5.50,54,0,5.9718ns,-,-,-,-,11,-,-
sobel_exhaustive,1,0-0-0-0-1-0-,3280,6,1833,942,442,9,5927,2674,6,5,5.50,54,0,5.8183ns,-,-,-,-,13,-,-
sobel_exhaustive,1,0-0-0-0-1-1-,1636,3,624,708,280,9,2978,1372,3,2,2.50,15,0,2.66ns,-,-,-,-,4,-,-
sobel_exhaustive,1,0-0-0-1-0-0-,2739,2,1699,750,252,0,4700,2175,2,2,2.00,38,0,5.5925ns,-,-,-,-,10,-,-
sobel_exhaustive,1,0-0-0-1-0-1-,3930,2,2960,738,199,0,6600,3175,2,2,2.00,33,0,5.9085ns,-,-,-,-,4,-,-
sobel_exhaustive,1,0-0-0-1-1-0-,2907,4,1829,744,293,0,5113,2403,4,4,4.00,41,0,5.7483ns,-,-,-,-,10,-,-
sobel_exhaustive,1,0-0-0-1-1-1-,974,1,736,192,44,0,1593,752,1,1,1.00,2,0,2.614ns,-,-,-,-,1,-,-
sobel_exhaustive,1,0-0-1-0-1-1-,1636,3,624,708,280,9,2978,1372,3,2,2.50,15,0,2.66ns,-,-,-,-,4,-,-
sobel_exhaustive,1,0-0-1-1-1-1-,974,1,736,192,44,0,1593,752,1,1,1.00,2,0,2.614ns,-,-,-,-,1,-,-
sobel_exhaustive,1,0-0-2-0-0-0-,2661,7,1127,972,476,19,4982,2165,7,7,7.00,67,-,6.2125ns,-,-,-,-,26,-,-
sobel_exhaustive,1,0-0-2-0-0-1-,4018,7,2390,1056,490,19,7147,3250,7,7,7.00,63,-,6.1218ns,-,-,-,-,14,-,-
sobel_exhaustive,1,0-0-2-0-1-0-,2609,9,1087,954,496,9,4990,2155,9,9,9.00,63,-,6.1125ns,-,-,-,-,22,-,-
sobel_exhaustive,1,0-0-2-0-1-1-,1636,3,624,708,280,9,2978,1372,3,2,2.50,15,0,2.66ns,-,-,-,-,4,-,-
sobel_exhaustive,1,0-0-2-1-0-0-,2347,3,1123,816,362,0,4290,1922,3,3,3.00,46,-,6.1425ns,-,-,-,-,19,-,-
sobel_exhaustive,1,0-0-2-1-0-1-,3591,3,2386,846,316,0,6252,2945,3,3,3.00,43,-,6.1218ns,-,-,-,-,7,-,-
sobel_exhaustive,1,0-0-2-1-1-0-,2343,7,1083,804,406,0,4402,1957,7,7,7.00,50,-,6.0425ns,-,-,-,-,19,-,-
sobel_exhaustive,1,0-0-2-1-1-1-,974,1,736,192,44,0,1593,752,1,1,1.00,2,0,2.614ns,-,-,-,-,1,-,-
