Method,Iteration,ATTR,AREA,state,FU,REG,MUX,DEC,pin_pair,net,max,min,ave,MISC,MEM,CP_delay,sim,Pmax,Pmin,Pave,Latency,BlockMemoryBit,DSP
decimation_test_250,1,2-2-2-1-5-4-0-1-4-4-,660,7,33,342,145,76,1213,564,7,7,7.00,64,0,0.53ns,-,-,-,-,28,-,-
decimation_test_250,1,2-0-4-0-5-5-0-0-4-4-,699,9,37,354,163,75,1325,626,9,9,9.00,70,0,0.53ns,-,-,-,-,32,-,-
decimation_test_250,1,2-2-4-1-2-4-0-1-4-4-,764,8,37,390,173,86,1413,661,8,8,8.00,78,0,0.53ns,-,-,-,-,31,-,-
decimation_test_250,1,3-3-2-5-5-1-4-1-5-3-,435,4,16,240,81,53,754,342,4,4,4.00,45,0,0.47ns,-,-,-,-,14,-,-
decimation_test_250,1,3-3-0-1-2-0-0-5-4-4-,648,7,30,336,140,76,1190,536,7,7,7.00,66,0,0.53ns,-,-,-,-,30,-,-
decimation_test_250,1,3-3-0-5-2-0-0-5-4-4-,648,7,30,336,140,76,1190,536,7,7,7.00,66,0,0.53ns,-,-,-,-,30,-,-
decimation_test_250,1,3-0-2-2-5-1-4-1-5-4-,454,6,19,246,90,53,816,373,6,6,6.00,46,0,0.47ns,-,-,-,-,19,-,-
decimation_test_250,1,3-4-2-5-5-1-3-2-5-4-,307,4,17,174,51,35,532,246,4,4,4.00,30,0,0.47ns,-,-,-,-,11,-,-
decimation_test_250,1,2-3-5-5-4-1-4-1-3-4-,381,5,16,204,83,39,694,337,5,4,4.50,39,0,0.47ns,-,-,-,-,16,-,-
decimation_test_250,1,3-3-2-1-5-1-4-1-5-2-,435,4,16,240,81,53,754,342,4,4,4.00,45,0,0.47ns,-,-,-,-,14,-,-
decimation_test_250,1,3-3-2-4-5-3-3-5-5-4-,296,3,16,168,48,35,513,235,3,3,3.00,29,0,0.47ns,-,-,-,-,9,-,-
decimation_test_250,1,2-3-2-4-5-0-2-2-5-4-,548,5,34,294,104,64,981,470,5,4,4.50,52,0,0.53ns,-,-,-,-,20,-,-
decimation_test_250,1,3-3-2-4-5-2-3-5-5-3-,296,3,16,168,48,35,513,235,3,3,3.00,29,0,0.47ns,-,-,-,-,9,-,-
decimation_test_250,1,3-0-3-5-5-1-4-2-2-2-,786,5,127,444,108,51,1222,572,5,5,5.00,56,0,0.74ns,-,-,-,-,34,-,-
decimation_test_250,1,3-3-3-4-5-1-3-2-5-4-,183,2,4,114,25,24,301,140,2,2,2.00,16,0,0.31ns,-,-,-,-,3,-,-
decimation_test_250,1,4-3-2-1-0-3-3-2-5-4-,494,7,16,270,97,56,892,439,7,7,7.00,55,0,0.47ns,-,-,-,-,20,-,-
decimation_test_250,1,3-3-0-4-3-0-3-6-0-4-,439,4,36,228,91,44,786,359,4,4,4.00,40,0,0.6225ns,-,-,-,-,31,-,-
decimation_test_250,1,4-3-0-5-5-1-3-1-5-5-,413,6,16,228,80,45,739,372,6,6,6.00,44,0,0.47ns,-,-,-,-,14,-,-
decimation_test_250,1,3-0-2-4-0-1-0-0-2-5-,990,9,145,534,157,73,1648,772,9,9,9.00,81,0,0.82ns,-,-,-,-,53,-,-
decimation_test_250,1,3-0-5-4-0-2-3-3-5-5-,321,6,19,174,61,35,584,274,6,6,6.00,32,0,0.47ns,-,-,-,-,15,-,-
decimation_test_250,1,3-0-5-5-0-2-3-5-5-5-,321,6,19,174,61,35,584,274,6,6,6.00,32,0,0.47ns,-,-,-,-,15,-,-
decimation_test_250,1,5-3-0-5-4-1-0-1-3-0-,394,5,34,198,83,39,739,343,5,5,5.00,40,0,0.53ns,-,-,-,-,21,-,-
decimation_test_250,1,3-0-5-5-0-2-3-3-5-0-,321,6,19,174,61,35,584,274,6,6,6.00,32,0,0.47ns,-,-,-,-,15,-,-
